abandon	abbandonato
antidepressant	anti-depressione
antidepressant	anti-depressivo
antidepressant	interessante
antidote	anteriore
antidote	anti-Gore
antidote	antico
antidote	anticorteo
antidote	antidogma
antidote	antidolore
antidote	antidonna
antigen	ancien
antigen	anti-Menem
antigen	antigelo
antigen	antigienico
antigen	antivento
antihistamine	anti-crimine
antihistamine	anti-dimostrazione
antihistamine	anticipatamente
antihistamine	antistante
antihistamine	antiustione
antimalarial	anti-mafia
antimalarial	anti-malarico
antimalarial	antimarxista
antimalarial	antimilitarista
antineutron	anti-euro
antinomy	andino
antinomy	antico
antinomy	antidogma
antioxidant	antiossidante
antipathy	anti-gay
antipathy	anti-patto
antipathy	antipatico
antiphon	anti-Expo
antiphon	antico
antiphon	anticlone
antiphon	antidonna
antipode	anteriore
antipode	anticlone
antipode	antropoide
antiproton	anti-spot
antiproton	antifurto
antiproton	antisportivo
antiquark	antiquato
antiquary	anti-gay
antiquary	antiquato
antique	anti-Juve
antique	antiquario
antiquity	antiquario
antiquity	antiquato
antiracist	anti-racket
antiracist	anti-razzista
antiracist	anti-realistico
antiracist	antirazzista
antiracist	antirealistico
antiseptic	anti-sovietico
antiseptic	anti-spot
antiseptic	antiestetico
antiseptic	antipatico
antiseptic	antiretorico
antiseptic	antitetico
antler	anti-ulcera
antler	antiulcera
antonym	anonimo
anuran	inurbano
apartment	amaramente
apartment	apertamente
apartment	apparentemente
apartment	appartenente
aperture	aprire
aperture	apportare
apologetic	apolitico
apologetic	apologetico
apologise	apolide
apostate	apostatare
apostate	apostrofare
apostate	appestare
apostate	appestato
apostate	appositamente
apostate	apposta
apostate	appostare
apostate	spossante
apostate	spostare
apostate	spostato
apostle	apostatare
apostle	apostolico
apostle	apposta
apostle	appostare
apostrophe	apostrofare
appale	applicabile
apparatuse	appartato
apparition	apartitico
apparition	apatico
apparition	apparso
apparition	appartato
appeal	appellabile
appeal	appena
appear	apparire
appear	appellare
appear	appestare
appearance	appartare
appearance	appellare
appearance	appestare
appeaser	appiedare
appellant	appellare
appellation	appellabile
appellation	applicativo
appendage	appena
appendage	appiedare
appendage	apprendere
appetise	appetire
appetite	apparente
appetite	appetibile
appetite	appetitoso
appetite	appuntire
applaud	applaudito
apple	appena
appliance	appaiare
appliance	appianare
appliance	applicare
applicant	applicato
applicant	applicativo
application	applicabile
application	applicato
appointment	appropriatamente
apportionment	opportunamente
apposition	apposta
apposition	approssimativo
appraisal	appaiare
appraise	appaiare
appraise	appurare
appraiser	appaiare
appraiser	appurare
appreciate	apparente
appreciation	apprezzato
apprehension	apprensivo
apprentice	apparentare
apprentice	apparente
apprentice	appartenente
apprentice	appuntire
appress	appeso
appress	oppresso
apprise	appariscente
apprise	appisolare
apprise	appressare
appropriate	appropriare
appropriation	appropriare
appropriation	appropriato
appropriation	appropriatamente
appropriation	approssimativo
appropriation	aprioristico
approve	apparso
approximate	approssimativo
appurtenance	appartenente
apricot	apatico
aquaplane	aquilano
aquarian	aquilano
aquilegia	aquilano
aquilegia	aquilino
aquina	aquilano
aquina	aquilino
arabesque	arabescare
arabesque	arabesco
arabian	arboriano
arabian	ariano
arabian	arrabbiato
aranyo	areniano
arbiter	arabile
arbiter	arbitrale
arbiter	arbitrato
arbitrage	arbitrale
arbitrage	arbitrato
arbitrage	orbitale
arbitrageur	arbitrale
arbitrageur	arbitrario
arbitrate	arbitrale
arbitrate	arbitrariamente
arbitrate	arbitrato
arbitrate	orbitale
arbitrator	ambrato
arbitrator	arbitrato
arbour	arboreo
arcade	arcadico
arce	arcade
arce	arcuare
archao	arcadico
archdeacon	arcaico
architect	architettare
architrave	arbitrale
architrave	arrochire
ardente	andante
ardente	arenare
ardente	argentare
ardente	argenteo
arena	areniano
arena	armeno
argentine	argentario
argentine	argenteo
argentine	urgente
argentinian	areniano
argue	arguire
argue	arguto
aria	ariano
aristo	ardito
aristo	arido
aristo	arioso
aristo	artistico
aristo	pristino
aristocracy	aristocratico
aristocrat	arbitrato
aristotelian	aristotelico
armadillo	arcadico
armadillo	arzillo
armament	armonicamente
armament	armoniosamente
armament	artatamente
arme	armare
arme	armeno
armenian	areniano
armenian	ariano
armourer	armare
armrest	arrosto
aroma	armare
aroma	armato
aromatic	armato
aromatic	artico
arpeggio	arpeggiare
arraign	arcigno
arrange	arrangiare
arrange	arringare
arranger	arrancare
arranger	arrangiare
arranger	arringare
arrest	arare
arrest	arrestare
arrest	arrestato
arrestment	acremente
arrival	arrivare
arrival	arrivato
arrive	arare
arrive	arrivato
arrogate	abrogare
arrogate	arringare
arrogate	arroccare
arrogate	arrogante
arrogate	arrossare
arrogate	arrostire
arrogate	arrotare
arrogate	arruolare
arsenal	arenare
arteriole	anteriore
arteriole	arterioso
arthropod	antropoide
artichoke	aritmico
artichoke	artico
article	arabile
article	articolare
article	artigliare
articulate	articolare
artifice	artificioso
artifice	artistico
artificial	artificiale
artificial	artificialmente
artificial	artificioso
artisan	antistante
artisan	artigiano
artist	artistico
artiste	attristare
aryan	arcano
aryan	ariano
ascend	ascendente
ascender	accendere
ascender	ascendere
ascender	ascendente
ascender	ascondere
ascent	ascetico
ascent	assente
ascent	astenuto
ascetic	asettico
asian	ariano
aside	assidere
aspersion	asperrimo
aspersion	aspro
aspersion	asprigno
aspirant	aspramente
aspirant	ispirato
aspirate	assopire
aspirate	espirare
aspirate	ispirare
aspirate	ispiratore
aspirate	ospite
aspire	appetire
aspire	asserire
aspire	assopire
aspire	espirare
aspirin	asprigno
ass	assai
assail	assiale
assailant	assai
assailant	assillante
assailant	assolato
assart	assai
assassin	assassinare
assassin	assassino
assassinate	asfissiante
assassinate	assassino
assassination	assassinare
assassination	assassino
assault	assiale
assay	assai
assemblage	assemblare
assemblage	assemblabile
assemble	assemblare
assemble	assemblabile
assemble	assembrare
assemble	assieme
assembler	assemblare
assembler	assieme
assembler	assumere
assembly	assemblare
assemblyman	assemblare
assent	assennato
assent	assentire
assent	assetare
assent	assistente
assert	assente
assert	asserire
assert	assertivo
assert	assetare
assert	assetato
assert	assidere
assert	assorto
assertion	ascetico
assertion	asserire
assertion	assorto
assessor	assestare
assessor	assestato
asset	assentire
asshole	assiale
assign	asprigno
assign	assai
assignation	assegnato
assignation	assiomatico
assignee	assidere
assignee	assistere
assignment	assieme
assimilate	assillare
assimilate	assillante
assimilate	assimilare
assize	assai
assize	assiale
associate	asociale
associate	assillante
associate	associabile
associate	associativo
association	assiomatico
association	associativo
associative	associabile
assonance	assordante
assuage	assiale
assure	assopire
aster	assistere
aster	astenere
aster	estero
asterisk	arterioso
asthmatic	asettico
asthmatic	automatico
asthmatic	estatico
astor	astuto
astrologer	astrale
astrologer	astrologare
astronaut	astenuto
asturia	astrale
asturia	attuariale
aton	ateo
aton	atto
aton	attorno
atrebate	arrembare
atrocity	atroce
attachment	artatamente
attachment	attivamente
attachment	attraente
attachment	attualmente
attainder	attendere
attainder	attenere
attainment	artatamente
attainment	attentamente
attainment	attivamente
attempter	attenere
attend	attenere
attendant	antenato
attendant	attendare
attendant	attenuante
attendee	ateniese
attender	attenere
attention	antitetico
attention	atletico
attention	attento
attention	autentico
attenuate	antenato
attenuate	attentare
attenuate	attenuante
attenuate	attuale
attenuate	attutire
attenuator	antenato
attenuator	attempato
attenuator	attenuante
attest	atteso
attic	artistico
attic	atletico
attic	attivo
attic	ittico
attire	attagliare
attire	attecchire
attire	attingere
attire	attossicare
attire	autenticare
attire	autogestire
attorney	attorcere
attract	attraente
attractant	attraente
attribute	attristare
attribute	attutire
attribution	antiustione
attune	attenuante
attune	attuale
attune	attutire
augure	arguire
augure	augurale
augure	lugubre
aussie	asserire
aussie	assiale
aussie	assieme
austral	austero
austral	autostradale
austral	lustrale
australian	australe
australian	austriaco
austrian	australe
austrian	austriaco
auteur	austero
authenticate	autocentrante
authore	autocitare
authore	autopulire
authorisation	autocratico
authorisation	autoritario
authorisation	autorizzativo
authorisation	autorizzatorio
authoritarian	autoritario
authoritarian	autoritaristico
authorize	autorizzabile
auto	atto
auto	augusto
auto	muto
autoantibody	automatico
autobiographer	autobiografico
autobiography	autobiografico
autoclave	autocelebrare
autocrat	auto-curare
autocrat	autocentrante
autocrat	autocratico
autocrat	autocritico
autocrat	autografo
autograph	autografo
automate	autocompatire
automate	automatizzare
automate	autonomamente
automatic	antidogmatico
automatic	autocompatire
automatic	automatico
automatic	automaticamente
automatic	autonomistico
automatize	autocompatire
automatize	autosmentire
automaton	autoctono
automaton	automunito
automobile	automobilistico
avail	avanti
avar	avaro
avar	avviare
avenge	avere
avenue	avere
avenue	avvenire
averment	avvenente
aversion	eversivo
aviary	avaro
aviary	avvivare
aviator	animato
aviator	avviato
aviator	svitato
avoid	avido
azalea	anale
azerbaijani	azerbaigiano
baboon	balbo
baboon	barboso
babysitter	battere
bac	basco
backdate	badare
backfire	bacare
backside	basire
backyard	bacare
bacon	barico
bacteriologist	batteriologico
badland	balzano
bailee	badiale
bailey	badiale
bailiwick	basilico
bain	baio
bain	barbino
bait	baio
baiter	battere
balance	balcanico
balance	calante
balance	fallace
balanoide	balzano
bald	balordo
bale	badiale
bale	balzare
baler	baleniero
baler	ballerino
baler	balneare
baler	calere
ball	ballare
ballad	baldo
ballad	ballare
ballad	palladio
balladeer	ballare
ballast	ballare
ballast	bollato
ballerina	balenare
ballerina	ballerino
ballet	ballare
ballet	bollente
balloon	falloso
ballot	bello
ballvalve	ballabile
baluster	balbutire
baluster	palustre
balustrade	balestrare
balustrade	palustre
bamboo	balbo
bamboo	barboso
ban	bantù
banana	bagnante
bandage	badare
bandage	badiale
bandage	bendare
bandit	bantù
banister	bananiero
banker	balneare
banner	balneare
banneret	balneare
bannister	bagnante
bannister	bananiero
bant	bagnato
bant	bantù
bant	tant
bantam	bantù
banter	bantù
bantustan	battista
barb	barbaro
barb	barboso
barb	barbuto
barbarian	barbaramente
barbarian	barbarico
barbarity	barbaro
barbarity	barbarico
barber	barbaro
barber	berbero
barber	burbero
barchan	marchiano
bard	balordo
bard	bardare
bard	hard
bare	basire
barent	bantù
barent	carente
barge	badare
bargeboard	barbaro
baritone	baritonale
baritone	cartonare
bark	dark
barnacle	banale
barnacle	carnale
barnacle	marginale
baron	barico
baronet	baritonale
barricade	barrire
barrow	barbaro
barter	battere
basher	laser
basic	balsamico
basic	barico
basic	basco
basic	basico
basin	basico
basset	basso
baste	basare
baste	basire
baste	bastonare
bastion	balistico
bat	bantù
bathtub	battuto
batt	battere
batt	battuto
batten	battere
batter	battere
batter	battagliero
battery	battere
battery	batterico
battery	battezzare
battle	battere
battle	battagliero
battle	battesimale
battle	tattile
battler	battere
battler	batterico
battler	battezzare
beadle	bestiale
beadle	reale
beagle	beige
beagle	bestiale
bean	ben
bean	bene
bear	beare
bear	beffare
bear	belare
bear	bendare
beard	beffardo
bearer	beare
bearer	beccare
bearer	beffare
bearer	bendare
bearing	bejartiano
beast	beato
beasty	beato
beat	beato
beat	bennato
beater	beato
beauty	beato
bedcover	becero
bedevile	medievale
bee	beare
bee	bere
bee	breve
beech	benché
beef	bene
beet	bene
befall	bell
beget	vegeto
beggar	beare
beggar	beffeggiare
beggare	belare
belabour	belare
belch	bel
belgian	bellino
belie	celibe
belief	beige
bell	bell
bell	bellico
belle	bello
belle	bel
bellend	bell
bellend	bellino
belli	bello
belli	bel
belli	bellico
belli	bellino
belli	belloccio
belli	belluino
bellow	bello
bellow	bellico
bellow	bellino
bellringer	belligerante
belly	bello
belong	bello
bench	ben
bench	benché
bender	bendare
bender	benedett
bender	benedire
bender	tendere
benefaction	benefattore
benefice	benefico
beneficiary	beneficiare
beneficiary	beneficiario
benitse	bene
berate	beato
berate	berciare
berate	versante
berber	beare
berber	berbero
berber	burbero
bereave	boreale
bereavement	serenamente
beret	beare
beret	belare
bergenia	bergmaniano
berliner	berlinese
besiege	beige
bestir	bestemmiare
bestir	bestiale
bestir	gestire
bestow	beato
bestow	lesto
bestow	pesto
bestow	sesto
bestride	bestiale
bestseller	best-seller
bestseller	bestseller
betime	bestiale
bias	bis
biase	biasciare
biase	biasimare
biase	bis
bicarbonate	bifronte
bicarbonate	birbone
bicheiro	birichino
bicycle	boccale
bidet	bipede
biennial	biennale
bifurcate	bifronte
biggy	big
bight	big
bilateral	bicamerale
bilateral	bilaterale
bilateral	bilateralmente
bile	vile
bilge	bilingue
bill	bell
billete	bellamente
billete	silente
billing	bellino
billionaire	bidonare
billionaire	bighellonare
billionaire	bullonare
billionaire	dilazionare
billow	bello
bimbo	bimano
bind	biondo
binge	big
binge	bilingue
biome	biomedico
biped	bipede
biplane	bipolare
birch	birichino
biro	birmano
biro	diro
bisect	bieco
bistable	disabile
bistable	visitabile
bistro	bastardo
bistro	biondastro
bistro	biposto
bistro	bistrato
bitch	kitsch
bite	mite
bitter	battere
bittern	battere
bivalent	bivalve
black	block
blade	blando
blade	blandire
blanc	bianco
blanc	blando
bland	blando
bland	blandire
blare	alare
blare	blandire
blare	blaterare
blare	blindare
blare	bloccare
blare	bluffare
blaspheme	blasfemo
blast	blasonato
blast	blasé
blaster	bluastro
blastoid	bluastro
bleak	break
blind	blando
blind	blindato
blindfold	blindato
bloat	blasonato
bloc	block
block	block
blockade	block
blockage	block
blond	biondo
blond	blando
blotch	block
blub	blu
blubber	blue
blue	blu
blue	blue
bluetit	blue
bluff	blu
bluff	bluffare
blunder	blue
blur	blue
blurt	blu
bluster	bluastro
boa	boaro
boar	boario
boar	bonario
boar	borrare
boar	boxare
board	boxare
boarder	bombare
boarder	bordare
boarder	boriare
boarder	borrare
boarder	boxare
boer	boero
boiler	boxer
bole	boccale
bole	bollire
bole	boreale
bolivian	boliviano
bolivian	bovino
bolivian	poliziano
bollard	bollare
bollard	bollire
bollard	bollato
bollard	collare
bollard	follare
bollard	pollare
bollock	bollato
bolt	bollato
bombard	bomber
bombard	rombare
bonfire	boriare
bonfire	confare
bonfire	conferire
bonfire	confidare
bonfire	confinare
bonfire	confluire
bonfire	coniare
bonfire	ronfare
bongo	bovino
bonker	boero
bonker	boxer
boo	boaro
boo	bolso
booker	boxer
boomer	boero
boomer	bomber
bopper	boero
bopper	boxer
borane	boreale
border	bordeaux
border	boxer
borderline	boreale
bore	bollare
bore	boriare
bore	boxare
borehole	boreale
borrow	boaro
borrow	boero
borrower	horror
borstal	dorsale
bosnian	jospiniano
bottle	sottile
bottom	rotto
bottome	sottomesso
boue	blue
bourse	house
boutro	boaro
boutro	bruto
bower	bomber
bowler	boxer
box	boxer
boxcar	boxare
boxcar	boxer
boxer	boxare
boxer	boxer
boyar	boaro
boyar	boario
brae	bramire
brae	brasare
brae	brav
brae	brucare
brae	brutale
brag	brav
braid	brado
braise	brandire
bramble	bramire
bramble	brutale
branch	branchiale
brandish	grandioso
brandy	brado
brass	crasso
brass	grasso
brave	breve
bravoe	pravo
brawler	brutale
brazier	grazie
bread	brado
bread	break
break	break
breakage	break
breaker	break
breakwate	break
breeder	credere
breeder	precedere
breeder	presiedere
breeder	pretendere
breeze	breve
breton	bruto
brewer	breve
briar	brigare
briar	brillare
briar	brogliare
briar	bruciare
briar	brulicare
bridge	brindare
brilliant	brulicante
brim	prim
brindle	brinare
brine	briccone
brine	brillante
brine	brindare
briquette	brutt
briquette	bruttare
bristle	brutale
bristle	triste
britain	britanno
briton	britanno
briton	bruciato
briton	bruto
bro	brado
broil	brillo
bronco	bronzeo
bronco	ironico
bronco	prono
bronco	tronco
bronco	troncato
bronze	bronzeo
brood	brioso
brook	brioso
broom	brioso
bruise	bruciare
brunette	brutt
brunette	bruttare
brunette	brutto
brutalise	brutale
brutalise	brutalizzare
brutalise	bruttare
brutality	brutale
brutalize	brutale
brute	bruto
brute	brutale
brute	brutto
buddha	buddhista
budgerigar	buggerare
buff	buffo
buffaloe	buffo
buffer	buffo
buffon	buffo
buffon	buffonesco
buffon	buon
buffon	buono
buffon	muffo
buffoon	buffonesco
buffoon	buon
bug	bugio
bugbear	bulgaro
bugbear	burbero
bulgar	bugiardo
bulgar	bugnare
bulgar	bulgaro
bulgarian	bulgaro
bull	bell
bullard	ballare
bullard	bulgaro
bullard	bullonare
bulldoze	bullonare
bun	buon
bun	buono
bunch	benché
bund	buon
bung	buon
bunion	bugio
bunion	buio
bunion	buon
bunion	buono
bunk	funk
burble	burlare
burble	burlesco
burble	curabile
burger	burbero
burglar	bugnare
burglar	bulgaro
burglar	surgelare
burglary	surgelare
burlesque	burlesco
burman	birmano
burn	buon
burn	burlone
burner	burbero
burner	burlone
burr	burbero
burr	burlare
burr	burroso
burrow	burbero
burrow	burroso
bursar	bussare
bursary	bussare
buse	bussare
bustard	bastardo
bustard	bussare
bustard	gustare
buster	austero
bustle	australe
butter	battere
buttress	burattare
byelorussian	bielorusso
byzantine	bizantino
cabal	casual
caballero	cavalleresco
cabaret	cablare
cabaret	cacare
cabaret	cagare
cabaret	calcare
cabaret	cantare
cabaret	carente
cabaret	cariare
cabaret	cascare
